,Year,Wheat yield
1336,2015,0.68329996
1337,2016,0.3861
1338,2017,0.39819998
1339,2018,1.4092
1340,2019,0.64019996
1341,2020,0.715
1342,2021,0.7213
1343,1976,0.4933
1344,1977,0.31399998
1345,1978,0.5
1346,1979,0.8667
1347,1980,0.7931
1348,1981,0.7931
1349,1982,1.4706
1350,1983,1.7778
1351,1984,1.0
1352,1985,1.4246
1353,1986,1.3333
1354,1987,1.3333
1355,1988,1.3333
1356,1989,1.3333
1357,1990,1.5
1358,1991,1.3038
1359,1992,1.3051
1360,1993,1.3062999
1361,1994,1.3086
1362,1995,1.3198
1363,1996,1.3333
1364,1997,1.333
1365,1998,1.3341
1366,1999,1.3352
1367,2000,1.3362
1368,2001,1.3373
1369,2002,1.3384
1370,2003,1.3395
1371,2004,1.3406999
1372,2005,1.3418
1373,2006,1.3428999
1374,2007,1.3441
1375,2008,1.3454
1376,2009,1.3467
1377,2010,1.3845999
1378,2011,1.3971
1379,2012,1.2307999
1380,2013,1.2879
1381,2014,1.3281
1382,2015,1.3317
1383,2016,1.3319
1384,2017,1.3354
1385,2018,1.3362
1386,2019,1.336
1387,2020,1.3363
1388,2021,1.3366
1389,1961,0.7529
1390,1962,1.4182999
1391,1963,1.7651
1392,1964,1.3604
1393,1965,1.5432
1394,1966,1.8738999
1395,1967,1.3239
1396,1968,1.4855
1397,1969,1.8083999
1398,1970,1.7864
1399,1971,1.8350999
1400,1972,1.6798999
1401,1973,1.6876
1402,1974,1.4884
1403,1975,1.8019999
1404,1976,2.0963
1405,1977,1.9632
1406,1978,1.9986999
1407,1979,1.6341
1408,1980,1.7212
1409,1981,1.9958999
1410,1982,2.1336
1411,1983,1.9345
1412,1984,1.6099
1413,1985,1.7665
1414,1986,2.2052
1415,1987,1.9279
1416,1988,1.2293
1417,1989,1.8075999
1418,1990,2.2769
1419,1991,2.2559
1420,1992,2.1603
1421,1993,2.2027
1422,1994,2.1275
1423,1995,2.2467
1424,1996,2.4304
1425,1997,2.1285
1426,1998,2.2549999
1427,1999,2.5971
1428,2000,2.4445999
1429,2001,1.9452
1430,2002,1.8324
1431,2003,2.2565
1432,2004,2.6409
1433,2005,2.7380998
1434,2006,2.6095998
1435,2007,2.3316998
1436,2008,2.8574998
1437,2009,2.7897
1438,2010,2.8084998
1439,2011,2.9568
1440,2012,2.8743
1441,2013,3.5979998
1442,2014,3.0818
1443,2015,2.8925
1444,2016,3.5805
1445,2017,3.3815
1446,2018,3.2742
1447,2019,3.3834
1448,2020,3.5374
1449,2021,2.4112
1450,1961,1.6383
1451,1962,1.8889999
1452,1963,2.027
1453,1964,2.6109
1454,1965,2.4575999
1455,1966,2.2005
1456,1967,2.6425
1457,1968,2.5739
1458,1969,2.7029
1459,1970,2.9499
1460,1971,2.8938
1461,1972,2.5727
1462,1973,3.1957998
1463,1974,3.4714
1464,1975,3.4793
1465,1976,3.6629
1466,1977,3.3304
1467,1978,3.5
1468,1979,3.773
1469,1980,3.7199
1470,1981,3.6411998
1471,1982,4.275
1472,1983,3.9643998
1473,1984,4.3073
1474,1985,4.2163997
1475,1986,3.9220998
1476,1987,4.4091
1477,1988,3.9573
1478,1989,3.7856
1479,1990,4.1719
1480,1991,4.0985
1481,1992,3.9243
1482,1993,4.0478997
1483,1994,4.2703
1484,1995,3.7055
1485,1996,4.1355
1486,1997,4.6882
1487,1998,4.1769
1488,1999,4.6014
1489,2000,4.9051
1490,2001,4.7483
1491,2002,5.0786
1492,2003,4.4723997
1493,2004,4.462
1494,2005,4.7325997
1495,2006,5.2096
1496,2007,5.0656
1497,2008,4.9995
1498,2009,4.9561
1499,2010,5.4002
1500,2011,5.4582
1501,2012,5.6338
1502,2013,5.2734
1503,2014,5.1758
1504,2015,4.514
1505,2016,5.3222
1506,2017,5.2788
1507,2018,5.415
1508,2019,5.5106997
1509,2020,5.3012
1510,2021,5.9702997
1511,1992,1.3719
1512,1993,0.99469995
1513,1994,0.8639
1514,1995,0.77889997
1515,1996,0.8702
1516,1997,1.0852
1517,1998,0.9507
1518,1999,1.5557
1519,2000,1.2327
1520,2001,1.4776
1521,2002,1.5137
1522,2003,1.4832
1523,2004,1.3291
1524,2005,1.4542999
1525,2006,1.6242
1526,2007,1.6162
1527,2008,1.3261
1528,2009,1.5770999
1529,2010,1.2171
1530,2011,1.9179
1531,2012,1.2344999
1532,2013,1.4757999
1533,2014,1.5103999
1534,2015,1.6069
1535,2016,1.6223999
1536,2017,1.5845
1537,2018,1.5762
1538,2019,1.4877
1539,2020,1.5991
1540,2021,1.3433
1541,1961,1.1111
1542,1962,1.2727
1543,1963,1.5
1544,1964,1.4595
1545,1965,1.793
1546,1966,1.7066
1547,1967,2.2222
1548,1968,1.1458
1549,1969,1.5713999
1550,1970,1.5682
1551,1971,1.5565
1552,1972,1.7328
1553,1973,2.3332999
1554,1974,3.6
1555,1975,3.5714
1556,1976,1.9047999
1557,1977,1.3333
1558,1978,1.6667
1559,1979,2.0
1560,1980,2.0
1561,1981,1.8666999
1562,1982,1.6333
1563,1983,0.9091
1564,1984,0.6003
1565,1985,1.191
1566,1986,0.74329996
1567,1987,1.0
1568,1988,1.0652
1569,1989,1.5
1570,1990,1.5
1571,1991,1.3822
1572,1992,2.1201
1573,1993,2.1362998
1574,1994,2.2296999
1575,1995,0.9996
1576,1996,2.2496
1577,1997,3.0
1578,1998,2.0226
1579,1999,1.434
1580,2000,1.4336
1581,2001,1.4933
1582,2002,2.0
1583,2003,1.4449999
1584,2005,1.5
1585,2006,1.0
1586,2007,1.8650999
1587,2008,1.8
1588,2009,2.0
1589,2010,2.5007
1590,2011,0.49229997
1591,2012,2.5
1592,2013,2.6420999
1593,2014,1.3005999
1594,2015,1.4006
1595,2016,2.0
1596,2017,1.9684
1597,2018,2.244
1598,2019,1.8712
1599,2020,1.8096
1600,2021,1.9224999
1601,1961,1.3398
1602,1962,1.2614
1603,1963,1.5121
1604,1964,1.5489
1605,1965,1.5346999
1606,1966,1.7262
1607,1967,1.675
1608,1968,1.742
1609,1969,1.6341
1610,1970,1.7653999
1611,1971,1.8805
1612,1972,1.6789999
1613,1973,1.3988
1614,1974,1.6445
1615,1975,1.4618
1616,1976,1.2421
1617,1977,1.9416
1618,1978,1.5401
1619,1979,1.7754999
1620,1980,1.7701
1621,1981,1.5873
1622,1982,1.7393999
1623,1983,1.6314
1624,1984,2.0967999
1625,1985,2.3009
1626,1986,2.8565
1627,1987,2.7700999
1628,1988,3.0075
1629,1989,3.2677
1630,1990,2.9480999
1631,1991,3.4057
1632,1992,3.3787
1633,1993,3.35
1634,1994,3.5156999
1635,1995,3.55
1636,1996,3.3277998
1637,1997,4.0174
1638,1998,4.3845997
1639,1999,3.5342
1640,2000,3.8119998
1641,2001,4.2999
1642,2002,4.2722
1643,2003,4.323
1644,2004,4.571
1645,2005,4.413
1646,2006,4.4600997
1647,2007,4.7859
1648,2008,4.5748
1649,2009,4.0808997
1650,2010,5.7658
1651,2011,5.8059998
1652,2012,4.9467998
1653,2013,5.8143
1654,2014,5.329
1655,2015,5.6326
1656,2016,6.0706
1657,2017,5.9965997
1658,2018,6.2137
1659,2019,6.286
1660,2020,6.0038
1661,2021,5.9821
1662,1961,0.5578
1663,1962,0.6929
1664,1963,0.778
1665,1964,0.8211
1666,1965,1.0217
1667,1966,1.058
1668,1967,1.127
1669,1968,1.1146
1670,1969,1.0855
1671,1970,1.1474999
1672,1971,1.2717999
1673,1972,1.3694999
1674,1973,1.3337
1675,1974,1.5116
1676,1975,1.6396999
1677,1976,1.7753999
1678,1977,1.4649999
1679,1978,1.8449
1680,1979,2.1395
1681,1980,1.8914
1682,1981,2.1090999
1683,1982,2.4517
1684,1983,2.8016999
1685,1984,2.9691
1686,1985,2.9366999
1687,1986,3.0402
1688,1987,2.9829
1689,1988,2.9679
1690,1989,3.043
1691,1990,3.1941
1692,1991,3.1004
1693,1992,3.3312
1694,1993,3.5188
1695,1994,3.4262998
1696,1995,3.5414999
1697,1996,3.7340999
1698,1997,4.1019
1699,1998,3.6852
1700,1999,3.9466
1701,2000,3.7382
1702,2001,3.8061
1703,2002,3.7766
1704,2003,3.9318
1705,2004,4.2518997
1706,2005,4.2753
1707,2006,4.5934997
1708,2007,4.6075997
1709,2008,4.762
1710,2009,4.739
1711,2010,4.7486
1712,2011,4.8375998
1713,2012,4.9869
1714,2013,5.0555997
1715,2014,5.2434998
1716,2015,5.3926997
1717,2016,5.3964996
1718,2017,5.4841
1719,2018,5.4165998
1720,2019,5.6298
1721,2020,5.7421
1722,2021,5.8106
1723,1991,3.1004
1724,1992,3.3312
1725,1993,3.5188
1726,1994,3.4262998
1727,1995,3.5414999
1728,1996,3.7340999
1729,1997,4.1019
1730,1998,3.6852
1731,1999,3.9466
1732,2000,3.7382
1733,2001,3.8061
1734,2002,3.7766
1735,2003,3.9318
1736,2004,4.2518997
1737,2005,4.2753
1738,2006,4.5934997
1739,2007,4.6075997
1740,2008,4.762
1741,2009,4.739
1742,2010,4.7483997
1743,2011,4.8374
1744,2012,4.9867997
1745,2013,5.0552998
1746,2014,5.2433
1747,2015,5.3922997
1748,2016,5.3961
1749,2017,5.4838
1750,2018,5.4163
1751,2019,5.6294
1752,2020,5.7416
1753,2021,5.8101
1754,1961,0.88809997
1755,1962,1.0799999
1756,1963,0.79649997
1757,1964,0.84999996
1758,1965,0.9167
1759,1966,1.1364
1760,1967,1.1765
1761,1968,1.1667
1762,1969,1.2545999
1763,1970,1.1827999
1764,1971,1.1343
1765,1972,1.14
1766,1973,1.2814
1767,1974,1.3038
1768,1975,1.2924
1769,1976,1.3810999
1770,1977,0.875
1771,1978,1.2694
1772,1979,1.3649
1773,1980,1.2152
1774,1981,1.5974
1775,1982,1.5606999
1776,1983,1.6803
1777,1984,1.3823
1778,1985,1.7100999
1779,1986,1.7684
1780,1987,1.8185999
1781,1988,1.6319
1782,1989,1.7177
1783,1990,1.8483
1784,1991,1.9851999
1785,1992,1.749
1786,1993,1.8772999
1787,1994,2.0547
1788,1995,2.1193
1789,1996,2.1824
1790,1997,2.1243
1791,1998,2.0497
1792,1999,2.1536999
1793,2000,1.5992
1794,2001,1.5106
1795,2002,1.7353
1796,2003,1.9496
1797,2004,1.8879
1798,2005,2.3371
1799,2006,1.5489999
1800,2007,1.8708999
1801,2008,1.8151
1802,2009,1.6946
1803,2010,1.7696999
1804,2011,1.5963999
1805,2012,1.5195999
1806,2013,1.6938
1807,2014,1.4785
1808,2015,1.8539
1809,2016,1.5941
1810,2017,2.0941
1811,2018,1.8887
1812,2019,2.0794
1813,2020,2.4831998
1814,2021,2.6787999
1815,1992,3.8967
1816,1993,4.1867
1817,1994,3.7823
1818,1995,3.8604999
1819,1996,3.6905
1820,1997,4.0
1821,1998,4.2214
1822,1999,3.2976
1823,2000,4.7455
1824,2001,4.4047
1825,2002,4.5919
1826,2003,3.2207
1827,2004,4.9277997
1828,2005,4.1144
1829,2006,4.5833
1830,2007,4.6408
1831,2008,5.4832997
1832,2009,5.1896
1833,2010,4.0415
1834,2011,5.2237
1835,2012,5.3473
1836,2013,4.8845997
1837,2014,4.1559997
1838,2015,5.3809
1839,2016,5.6537
1840,2017,5.8083997
1841,2018,5.4388
1842,2019,5.6113997
1843,2020,5.868
1844,2021,6.6959996
1845,1961,0.57919997
1846,1962,0.9679
1847,1963,0.9474
1848,1964,0.6835
1849,1965,1.4542999
1850,1966,0.918
1851,1967,1.6033
1852,1968,1.0849
1853,1969,1.2658
1854,1970,0.5517
1855,1971,1.1827999
1856,1972,1.0126
1857,1973,0.0482
1858,1974,1.11
1859,1975,1.2150999
1860,1976,1.201
1861,1977,0.85209996
1862,1978,1.2657
1863,1979,1.1616
1864,1980,1.3713
1865,1981,1.2268
1866,1982,1.1977999
1867,1983,1.1934
1868,1984,1.495
1869,1985,1.7702999
1870,1986,1.2785
1871,1987,2.4026
1872,1988,2.429
1873,1989,1.4952999
1874,1990,2.0392
1875,1991,1.1429
1876,1992,2.1
1877,1993,2.34
1878,1994,2.4241998
1879,1995,3.0137
1880,1996,3.5135
1881,1997,2.1905
1882,1998,1.9828
1883,1999,2.1211998
1884,2000,1.6259999
1885,2001,1.9444
1886,2002,2.1864
1887,2003,1.9764999
1888,2004,1.3328999
1889,2005,1.757
1890,2006,1.3951
1891,2007,2.0261
1892,2008,0.49539998
1893,2009,2.5498998
1894,2010,2.4115
1895,2011,2.2412999
1896,2012,2.6811
1897,2013,2.1935
1898,2014,0.7245
1899,2015,2.954
1900,2016,0.82299995
1901,2017,1.912
1902,2018,1.5029
1903,2019,2.7828
1904,2020,2.5816
1905,2021,2.1317
1906,1993,4.2349997
1907,1994,4.58
1908,1995,4.6015997
1909,1996,4.6671
1910,1997,4.41
1911,1998,4.2142997
1912,1999,4.6457
1913,2000,4.2085
1914,2001,4.8483
1915,2002,4.5551
1916,2003,4.0684
1917,2004,5.8419
1918,2005,5.0522
1919,2006,4.4865
1920,2007,4.857
1921,2008,5.7725997
1922,2009,5.2425
1923,2010,4.9923997
1924,2011,5.6921
1925,2012,4.3156
1926,2013,5.6675997
1927,2014,6.5104
1928,2015,6.3559
1929,2016,6.4958997
1930,2017,5.6705
1931,2018,5.3896
1932,2019,5.7325
1933,2020,6.1389
1934,2021,6.3213997
1935,1961,2.5997
1936,1962,2.4549
1937,1963,2.4634
1938,1964,2.2180998
1939,1965,2.4211
1940,1966,2.5293
1941,1967,2.7129998
1942,1968,3.161
1943,1969,3.0983999
1944,1970,2.9456
1945,1971,3.5263
1946,1972,3.3685
1947,1973,3.7768998
1948,1974,3.9942
1949,1975,3.5735
1950,1976,3.7672
1951,1977,4.0706
1952,1978,4.4097
1953,1979,3.4227998
1954,1980,4.5311
1955,1981,3.9917998
1956,1982,4.3122
1957,1983,4.8926
1958,1984,5.1362
1959,1985,4.9816
1960,1986,4.4031
1961,1987,5.0783997
1962,1988,5.2826
1963,1989,5.1315
1964,1990,5.4212
1965,1991,5.1526
1966,1992,4.5957
1967,1961,0.709
1968,1962,0.98999995
1969,1963,0.964
1970,1964,1.028
1971,1965,1.0
1972,1966,1.1
1973,1967,0.9341
1974,1968,1.0
1975,1969,1.14
1976,1970,0.53
1977,1971,0.4919
1978,1972,0.434
1979,1973,0.49609998
1980,1974,0.6296
1981,1975,0.64809996
1982,1976,0.6667
1983,1977,0.6364
1984,1978,0.6667
1985,1979,0.5918
1986,1980,0.6078
1987,1981,0.5962
1988,1982,0.5926
1989,1983,0.6071
1990,1984,0.5965
1991,1985,0.5862
1992,1986,1.1633999
1993,1987,0.92999995
1994,1988,0.91529995
1995,1989,0.9264
1996,1990,0.9259
1997,1991,0.9255
1998,1992,1.2356
1999,1993,1.2803
2000,1994,1.2813
2001,1995,1.2929
2002,1996,1.2901
2003,1997,1.2894
2004,1998,1.2903999
2005,1999,1.285
2006,2000,1.2849
2007,2001,1.285
2008,2002,1.2872
2009,2003,1.2128999
2010,2004,1.2842
2011,2005,1.285
2012,2006,1.2849
2013,2007,1.2849
2014,2008,1.2849
2015,2009,1.2851
2016,2010,1.2853999
2017,2011,1.2986
2018,2012,1.3116
2019,2013,1.3044
2020,2014,1.3034999
2021,2015,1.3090999
2022,2016,1.288
2023,2017,1.2587999
2024,2018,1.234
2025,2019,1.2147
2026,2020,1.125
2027,2021,1.125
2028,1850,1.2
2029,1911,3.31
2030,1934,2.8100002
2031,1950,3.65
2032,1961,4.1205
2033,1962,4.183
2034,1963,3.6697998
2035,1964,4.2257
2036,1965,4.4572997
2037,1966,4.2752
2038,1967,4.6524997
2039,1968,4.8136997
2040,1969,4.3615
2041,1970,4.4859
2042,1971,4.8538
2043,1972,4.3939
2044,1973,4.4129
2045,1974,5.3501997
2046,1975,5.1017
2047,1976,4.6837
2048,1977,5.2207
2049,1978,5.2704997
2050,1979,5.1615996
2051,1980,4.6842
2052,1981,5.558
2053,1982,6.673
2054,1983,6.4003997
2055,1984,7.323
2056,1985,5.8255997
2057,1986,6.1684
2058,1987,5.7474
2059,1988,6.7521
2060,1989,7.2534
2061,1990,7.4179997
2062,1991,7.0748997
2063,1992,6.151
2064,1993,6.9790998
2065,1994,6.4947996
2066,1995,7.5632997
2067,1996,6.9863997
2068,1997,7.2057
2069,1998,7.2475996
2070,1999,7.0074
2071,2000,7.4796996
2072,2001,7.3559
2073,2002,7.0344996
2074,2003,7.0768
2075,2004,7.1405997
2076,2005,7.2328
2077,2006,6.9964
2078,2007,6.561
2079,2008,7.8637996
2080,2009,8.0373
2081,2010,6.6264
2082,2011,6.4672
2083,2012,7.3687
2084,2013,7.2991996
2085,2014,7.7833
2086,2015,7.9526997
2087,2016,7.2067
2088,2017,8.2409
2089,2018,6.1624
2090,2019,8.0957
2091,2020,8.0987
2092,2021,7.5267
2093,1961,0.7486
2094,1962,0.7374
2095,1963,0.76269996
2096,1964,0.7712
2097,1965,0.81259996
2098,1966,0.7926
2099,1967,0.8157
2100,1968,0.8689
2101,1969,0.89059997
2102,1970,0.89089996
2103,1971,0.90989995
2104,1972,0.9041
2105,1973,0.9669
2106,1974,1.0078
2107,1975,1.0963
2108,1976,1.2645
2109,1977,1.3464
2110,1978,1.2312
2111,1979,1.3059
2112,1980,1.3974
2113,1981,1.4872
2114,1982,1.3579999
2115,1983,1.5049
2116,1984,1.2441
2117,1985,1.3705
2118,1986,1.3616999
2119,1987,1.446
2120,1988,1.5060999
2121,1989,1.5825
2122,1990,1.7286999
2123,1991,1.7760999
2124,1992,1.5439
2125,1993,1.7386
2126,1994,1.4948
2127,1995,1.4748
2128,1996,1.4945999
2129,1997,1.5253999
2130,1998,1.5891999
2131,1999,1.3701
2132,2000,1.3254
2133,2001,1.5289999
2134,2002,1.6516
2135,2003,1.6115999
2136,2004,1.6902
2137,2005,1.7629
2138,2006,1.6896
2139,2007,1.7794
2140,2008,1.7269
2141,2009,1.7713
2142,2010,1.9778999
2143,2011,2.0321
2144,2012,2.1713
2145,2013,2.4289
2146,2014,2.4378
2147,2015,2.654
2148,2016,2.4965
2149,2017,2.5767999
2150,2018,2.6696
2151,2019,2.8973
2152,2020,2.9689
2153,2021,2.6399999
2154,1961,0.61469996
2155,1962,0.7467
2156,1963,0.79109997
2157,1964,0.8574
2158,1965,1.0504999
2159,1966,1.0770999
2160,1967,1.1458
2161,1968,1.1334
2162,1969,1.0945
2163,1970,1.151
2164,1971,1.2766
2165,1972,1.3637999
2166,1973,1.3343999
2167,1974,1.5065
2168,1975,1.6367999
2169,1976,1.7662
2170,1977,1.4619
2171,1978,1.8326
2172,1979,2.123
2173,1980,1.88
2174,1981,2.0916998
2175,1982,2.4342
2176,1983,2.7809
2177,1984,2.9369
2178,1985,2.9147
2179,1986,3.0153
2180,1987,2.9514
2181,1988,2.9429998
2182,1989,3.0133
2183,1990,3.1575
2184,1991,3.0604
2185,1992,3.2853
2186,1993,3.4705
2187,1994,3.3832998
2188,1995,3.4993
2189,1996,3.6913
2190,1997,4.0586
2191,1998,3.6509
2192,1999,3.9096
2193,2000,3.7124999
2194,2001,3.7767
2195,2002,3.7473
2196,2003,3.8994
2197,2004,4.218
2198,2005,4.2426
2199,2006,4.5622997
2200,2007,4.5803
2201,2008,4.729
2202,2009,4.6868997
2203,2010,4.6895
2204,2011,4.7791
2205,2012,4.9309
2206,2013,4.9955997
2207,2014,5.1856
2208,2015,5.3101
2209,2016,5.3185
2210,2017,5.4165998
2211,2018,5.3441
2212,2019,5.5525
2213,2020,5.6544
2214,2021,5.7184
2215,1961,1.0649999
2216,1962,1.055
2217,1963,0.8175
2218,1964,1.0957999
2219,1965,0.9338
2220,1966,1.4259
2221,1967,1.2195
2222,1968,1.4116
2223,1969,1.2757
2224,1970,1.5177
2225,1971,1.5946
2226,1972,1.5588
2227,1973,1.7889999
2228,1974,1.5295999
2229,1975,1.2016
2230,1976,1.7401999
2231,1977,1.6130999
2232,1978,1.9900999
2233,1979,1.6192
2234,1980,1.7204
2235,1981,1.5078
2236,1982,1.6422
2237,1983,1.7038
2238,1984,1.6451
2239,1985,1.7344999
2240,1986,2.0342999
2241,1987,1.971
2242,1988,2.0112
2243,1989,2.1822
2244,1990,2.4213
2245,1991,1.9146999
2246,1992,2.3617
2247,1993,2.3581
2248,1994,2.1159
2249,1995,2.1682
2250,1996,1.9782
2251,1997,2.3690999
2252,1998,2.0895
2253,1999,2.0955
2254,2000,2.0156
2255,2001,2.5962
2256,2002,2.4907
2257,2003,2.115
2258,2004,2.679
2259,2005,2.4675999
2260,2006,2.3441
2261,2007,2.347
2262,2008,3.0151
2263,2009,2.7043
2264,2010,2.4487
2265,2011,2.8279
2266,2012,2.3601
2267,2013,2.8641999
2268,2014,3.2057998
2269,2015,3.0930998
2270,2016,3.322
2271,2017,3.6446
2272,2018,3.2552998
2273,2019,3.3471
2274,2020,3.3876
2275,2021,3.5126
2276,1961,0.9924
2277,1962,0.7897
2278,1963,0.7901
2279,1964,0.6681
2280,1965,0.8897
2281,1966,0.965
2282,1967,0.9869
2283,1968,1.0442
2284,1969,0.9388
2285,1970,1.0626
2286,1971,0.90169996
2287,1972,0.9034
2288,1973,0.97169995
2289,1974,0.9774
2290,1975,0.9205
2291,1976,0.84999996
2292,1977,0.97309995
2293,1978,1.0754
2294,1979,1.0289999
2295,1980,0.9693
2296,1981,1.1141
2297,1982,1.1658
2298,1983,1.045
2299,1984,1.0275
2300,1985,1.0192
2301,1986,0.8031
2302,1987,0.79609996
2303,1988,0.8671
2304,1989,0.6665
2305,1990,0.7967
2306,1991,0.5696
2307,1992,0.5911
2308,1993,0.67109996
2309,1994,0.6162
2310,1995,0.6951
2311,1996,0.61759996
2312,1997,0.5976
2313,1998,0.6484
2314,1999,0.7001
2315,2000,0.62079996
2316,2001,0.61
2317,2002,0.5696
2318,2003,0.798
2319,2004,0.8053
2320,2005,0.722
2321,2006,0.77739996
2322,2007,0.8186
2323,2008,0.7466
2324,2009,0.8617
2325,2010,0.8912
2326,2011,0.9249
2327,2012,0.7995
2328,2013,0.7064
2329,2014,1.1204
2330,2015,0.7165
2331,2016,1.525
2332,2017,1.2924
2333,2018,1.7141999
2334,2019,1.6445999
2335,2020,2.1868
2336,2021,1.8051
2337,1961,2.4696999
2338,1962,2.6064
2339,1963,2.6425
2340,1964,2.7551
2341,1965,2.6445
2342,1966,2.7029998
2343,1967,2.4508998
2344,1968,2.5349
2345,1969,2.4048998
2346,1970,2.7561
2347,1971,3.0405998
2348,1972,3.0911999
2349,1973,3.6926
2350,1974,3.2686
2351,1975,3.4722
2352,1976,3.3446999
2353,1977,3.332
2354,1978,3.3344
2355,1979,3.1606
2356,1980,3.1174998
2357,1981,3.2974
2358,1982,3.4961998
2359,1983,3.5995998
2360,1984,3.6668
2361,1985,3.7589998
2362,1986,3.8028
2363,1987,4.7158
2364,1988,4.751
2365,1989,4.9416
2366,1990,5.1967
2367,1991,4.8163
2368,1992,5.2546
2369,1993,5.297
2370,1994,5.0025997
2371,1995,5.4221
2372,1996,5.6384
2373,1997,5.5994
2374,1998,5.9895997
2375,1999,6.3466997
2376,2000,6.3422
2377,2001,6.358
2378,2002,6.4344997
2379,2003,6.5000997
2380,2004,6.5566998
2381,2005,6.4929
2382,2006,6.4302998
2383,2007,6.4673
2384,2008,6.5031
2385,2009,6.3828998
2386,2010,5.5741
2387,2011,6.5428
2388,2012,6.5822997
2389,2013,6.6682
2390,2014,6.1752
2391,2015,6.5919
2392,2016,6.6310997
2393,2017,6.8596997
2394,2018,6.2942
2395,2019,6.5003
2396,2020,6.3662996
2397,2021,6.4537
2398,1993,0.2038
2399,1994,0.7449
2400,1995,0.5124
2401,1996,0.3665
2402,1997,0.3434
2403,1998,0.95519996
2404,1999,0.77
2405,2000,0.5943
2406,2001,1.1658
2407,2002,0.1706
2408,2003,0.1987
2409,2004,0.29799998
2410,2005,1.1565
2411,2006,1.1603999
2412,2007,0.83949995
2413,2008,0.33069998
2414,2009,1.0705999
2415,2010,1.1786
2416,2011,1.1154
2417,2012,1.2692
2418,2013,1.1999999
2419,2014,1.1999999
2420,2015,1.0
2421,2016,1.0
2422,2017,1.0
2423,2018,1.0
2424,2019,1.0
2425,2020,1.0
2426,2021,1.0
2427,1992,2.0562
2428,1993,2.0994
2429,1994,1.6686
2430,1995,1.9973999
2431,1996,2.2045999
2432,1997,2.185
2433,1998,1.7666
2434,1999,1.3377
2435,2000,2.1285
2436,2001,2.2302
2437,2002,2.3025
2438,2003,2.1574
2439,2004,2.5082998
2440,2005,3.0818
2441,2006,2.4173
2442,2007,3.4745998
2443,2008,3.1831
2444,2009,3.0146
2445,2010,2.744
2446,2011,2.8065
2447,2012,3.8994
2448,2013,3.2754
2449,2014,3.9864
2450,2015,4.7885
2451,2016,2.7684999
2452,2017,4.2018
2453,2018,2.9129
2454,2019,5.0699
2455,2020,5.0018997
2456,2021,4.0903997
2457,1970,2.7895
2458,1971,4.5345
2459,1972,3.0832999
2460,1973,2.9384
2461,1974,2.9378
2462,1975,1.4684
2463,1976,2.0421
2464,1977,3.25
2465,1978,3.25
2466,1979,3.25
2467,1980,3.25
2468,1981,3.25
2469,1982,3.25
2470,1983,3.25
2471,1984,3.25
2472,1985,3.25
2473,1986,3.25
2474,1987,3.25
2475,1988,3.25
2476,1989,3.25
2477,1990,3.9641
2478,1991,2.0
2479,1992,1.6781
2480,1993,1.6050999
2481,1994,1.4286
2482,1995,1.5
2483,1996,1.5
2484,1997,1.5603
2485,1998,1.5909
2486,1999,1.5
2487,2000,1.5
2488,2001,1.5412999
2489,2002,1.5392
2490,2003,1.5428
2491,2004,1.5438
2492,2005,1.5451
2493,2006,1.5519999
2494,2007,1.4772999
2495,2008,1.566
2496,2009,1.5
2497,2010,1.5
2498,2011,1.6847
2499,2012,2.0
2500,2013,2.0
2501,2014,1.9399999
2502,2015,1.7507
2503,2016,1.8325
2504,2017,1.8549999
2505,2018,1.9126999
2506,2019,1.867
2507,2020,1.8784
2508,2021,1.8860999
2509,1993,1.5487
2510,1994,1.0749
2511,1995,1.3105999
2512,1996,1.2113999
2513,1997,1.2917
2514,1998,1.3737999
2515,1999,1.115
2516,2000,1.1631
2517,2001,1.3259
2518,2002,1.4354
2519,2003,1.3873999
2520,2004,1.4691
2521,2005,1.5567
2522,2006,1.5203999
2523,2007,1.6710999
2524,2008,1.6244999
2525,2009,1.8269
2526,2010,1.8384999
2527,2011,2.0288
2528,2012,2.1102
2529,2013,2.4445999
2530,2014,2.5433
2531,2015,2.7941
2532,2016,2.6755
2533,2017,2.7361
2534,2018,2.7679
2535,2019,2.9705
2536,2020,2.9954
2537,2021,2.6738
2538,1961,0.7127
2539,1962,0.7127
2540,1963,0.7123
2541,1964,0.71
2542,1965,0.71999997
2543,1966,0.72999996
2544,1967,0.7327
2545,1968,0.7389
2546,1969,0.7453
2547,1970,0.7549
2548,1971,0.76909995
2549,1972,0.78679997
2550,1973,0.79999995
2551,1974,0.79999995
2552,1975,0.91349995
2553,1976,0.992
2554,1977,1.1036
2555,1978,0.87039995
2556,1979,0.9611
2557,1980,1.0023
2558,1981,1.1105
2559,1982,1.0317
2560,1983,1.2838
2561,1984,1.0646
2562,1985,1.0232999
2563,1986,0.996
2564,1987,1.1665
2565,1988,1.1838
2566,1989,1.2351999
2567,1990,1.3201
2568,1991,1.4115
2569,1992,1.3497
2570,1961,1.2498529
2571,1962,1.3203229
2572,1963,1.0930641
2573,1964,1.3445983
2574,1965,1.2407058
2575,1966,1.6005969
2576,1967,1.5260799
2577,1968,1.6685135
2578,1969,1.5553811
2579,1970,1.7284906
2580,1971,1.8906685
2581,1972,1.8790692
2582,1973,2.0609195
2583,1974,1.939129
2584,1975,1.5901331
2585,1976,2.042305
2586,1977,1.938078
2587,1978,2.328557
2588,1979,2.0320654
2589,1980,2.1835756
